date,kW
2017/2/10,324.35
2017/2/11,301.272
2017/2/12,285.43
2017/2/13,316.656
2017/2/14,325.037
2017/2/15,324.778
2017/2/16,324.481
2017/2/17,327.078
2017/2/18,319.23
2017/2/19,286.855
2017/2/20,322.494
2017/2/21,331.285
2017/2/22,336.296
2017/2/23,333.496
2017/2/24,328.736
2017/2/25,303.27
2017/2/26,282.442
2017/2/27,286.652
2017/2/28,297.169
2017/3/1,319.972
2017/3/2,322.782
2017/3/3,323.603
2017/3/4,301.165
2017/3/5,284.462
2017/3/6,317.131
2017/3/7,326.219
2017/3/8,328.478
2017/3/9,329.645
2017/3/10,332.956
2017/3/11,307.066
2017/3/12,289.286
2017/3/13,326.713
2017/3/14,329.612
2017/3/15,329.804
2017/3/16,332.764
2017/3/17,332.276
2017/3/18,308.612
2017/3/19,289.912
2017/3/20,328.554
2017/3/21,336.78
2017/3/22,334.616
2017/3/23,334.601
2017/3/24,334.257
2017/3/25,304.199
2017/3/26,282.75
2017/3/27,316.217
2017/3/28,328.486
2017/3/29,332.055
2017/3/30,333.617
2017/3/31,332.343
2017/4/1,293.726
2017/4/2,272.587
2017/4/3,271.462
2017/4/4,274.183
2017/4/5,318.184
2017/4/6,332.957
2017/4/7,339.621
2017/4/8,318.992
2017/4/9,302.878
2017/4/10,347.81
2017/4/11,349.896
2017/4/12,334.727
2017/4/13,331.139
2017/4/14,334.176
2017/4/15,315.019
2017/4/16,302.969
2017/4/17,349.128
2017/4/18,361.796
2017/4/19,365.389
2017/4/20,363.071
2017/4/21,361.735
2017/4/22,308.309
2017/4/23,285.44
2017/4/24,327.021
2017/4/25,344.756
2017/4/26,355.286
2017/4/27,338.571
2017/4/28,326.675
2017/4/29,300.818
2017/4/30,285.355
2017/5/1,282.424
2017/5/2,324.007
2017/5/3,340.699
2017/5/4,347.71
2017/5/5,352.091
2017/5/6,321.32
2017/5/7,296.445
2017/5/8,342.186
2017/5/9,352.04
2017/5/10,357.768
2017/5/11,362.88
2017/5/12,362.449
2017/5/13,327.963
2017/5/14,305.024
2017/5/15,348.13
2017/5/16,336.77
2017/5/17,333.3
2017/5/18,344.17
2017/5/19,341.697
2017/5/20,310.523
2017/5/21,296.581
2017/5/22,344.213
2017/5/23,359.92
2017/5/24,361.979
2017/5/25,346.019
2017/5/26,336.698
2017/5/27,308.837
2017/5/28,289.916
2017/5/29,298.295
2017/5/30,301.063
2017/5/31,347.68
2017/6/1,342.911
2017/6/2,340.613
2017/6/3,324.862
2017/6/4,289.044
2017/6/5,331.911
2017/6/6,351.586
2017/6/7,362.462
2017/6/8,363.023
2017/6/9,362.558
2017/6/10,339.351
2017/6/11,321.73
2017/6/12,357.655
2017/6/13,362.393
2017/6/14,346.782
2017/6/15,328.619
2017/6/16,329.851
2017/6/17,303.739
2017/6/18,284.626
2017/6/19,324.46
2017/6/20,340.014
2017/6/21,352.91
2017/6/22,363.05
2017/6/23,365.688
2017/6/24,338.481
2017/6/25,321.827
2017/6/26,364.832
2017/6/27,373.349
2017/6/28,372.966
2017/6/29,369.354
2017/6/30,361.789
2017/7/1,321.836
2017/7/2,304.344
2017/7/3,344.231
2017/7/4,350.531
2017/7/5,351.088
2017/7/6,356.921
2017/7/7,346.993
2017/7/8,318.201
2017/7/9,304.52
2017/7/10,350.604
2017/7/11,359.055
2017/7/12,360.801
2017/7/13,362.923
2017/7/14,361.52
2017/7/15,332.587
2017/7/16,313.048
2017/7/17,349.659
2017/7/18,365.553
2017/7/19,364.931
2017/7/20,366.825
2017/7/21,367.363
2017/7/22,338.096
2017/7/23,323.781
2017/7/24,364.487
2017/7/25,367.989
2017/7/26,365.698
2017/7/27,363.576
2017/7/28,366.728
2017/7/29,321.456
